ID;UF_ORIGEM;MUN_ORIGEM;MUN_OR;NOME_ORIGEM;POP2018_O;COD_ARR_O;NOME_ARR_O;HIERAR_MUN_O;HIERAR_CID;NOME_HIERAR_CID;UF_DESTINO;MUN_DESTINO;MUN_DEST;NOME_DESTINO;POP2018_D;COD_ARR_D;NOME_ARR_D;HIERAR_MUN_D;HIERAR_CID_D;NOME_HIERAR_CID_D;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;IA_Q1;IA_Q2;IA_Q3;IA_Q4;IA_Q5;IA_Q6;IA_Q7;IA_Q8;IA_Q9;IA_Q10;PERC_LIG;IA;X_ORIGEM;Y_ORIGEM;X_DESTINO;Y_DESTINO
26004012604106;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2604106;2604106;Caruaru;356872;;;Capital Regional B (2B);2B;Capital Regional B;33.3333333333;30;15;10;35;60;13.3333333333;0;0;0;12151.3333333333;10936.2;5468.1;3645.4;12758.9;21872.4;4860.5333333333;0;0;0;0.1966666667;7169.2866666667;-35.5197;-8.7079;-35.9696;-8.2864
26004012614857;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2614857;2614857;Tamandaré;23149;;;Centro Local (5);5;Centro Local;0;0;0;0;0;5;20;0;0;0;0;0;0;0;0;1822.7;7290.8;0;0;0;25;911.35;-35.5197;-8.7079;-35.1;-8.7566
26004012601409;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2601409;2601409;Barreiros;42552;;;Centro de Zona A (4A);4A;Centro de Zona A;0;0;0;0;0;0;0;0;0;23.8636363636;0;0;0;0;0;0;0;0;0;8699.25;0.0238636364;869925;-35.5197;-8.7079;-35.1942;-8.8161
26004012613404;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2613404;2613404;São José da Coroa Grande;21004;2704500;Arranjo Populacional de Maragogi/AL - São José da Coroa Grande/PE;Município integrante do Arranjo Populacional de Maragogi/AL - São José da Coroa Grande/PE - Centro Local (5);5;Centro Local;0;0;0;0;0;0;0;0;0;22.7272727273;0;0;0;0;0;0;0;0;0;8285;0.0227272727;828.5;-35.5197;-8.7079;-35.1452;-8.8989
26004012604205;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2604205;2604205;Catende;42434;;;Centro Local (5);5;Centro Local;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1822.7;0;0;0;5;182.27;-35.5197;-8.7079;-35.7213;-8668
26004012616407;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2616407;2616407;Vitória de Santo Antão;137915;;;Centro Subregional B (3B);3B;Centro Subregional B;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1822.7;0;0;0;0;0;5;182.27;-35.5197;-8.7079;-35.2945;-8.1176
26004012615409;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2615409;2615409;Toritama;44254;;;Centro Local (5);5;Centro Local;3.3333333333;0;0;0;0;0;0;0;0;0;1215.1333333333;0;0;0;0;0;0;0;0;0;0.0033333333;121.5133333333;-35.5197;-8.7079;-36057;-8.0091
26004012606002;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2606002;2606002;Garanhuns;138983;;;Capital Regional C (2C);2C;Capital Regional C;0;0;0;0;1.6666666667;0;0;0;0;0;0;0;0;0;607.5666666667;0;0;0;0;0;0.0016666667;60.7566666667;-35.5197;-8.7079;-36.4962;-8.8911
26005002606002;PE;2600500;2600500;Águas Belas;43195;;;Centro Local (5);5;Centro Local;PE;2606002;2606002;Garanhuns;138983;;;Capital Regional C (2C);2C;Capital Regional C;100;93.3333333333;100;0;50;90;53.3333333333;0;0;46.2395543175;43195;40315.3333333333;43195;0;21597.5;38875.5;23037.3333333333;0;0;19973.1754874652;0.5921180233;25576.5380171258;-37.1206;-9.1124;-36.4962;-8.8911
26005002611606;PE;2600500;2600500;Águas Belas;43195;;;Centro Local (5);5;Centro Local;PE;2611606;2611606;Recife;1637834;2611606;Arranjo Populacional do Recife/PE;Município integrante do Arranjo Populacional do Recife/PE - Metrópole (1C);1C;Metrópole;0;0;0;100;13.3333333333;0;46.6666666667;63.3333333333;0;0;0;0;0;43195;5759.3333333333;0;20157.6666666667;27356.8333333333;0;0;0.2481481481;10718.7592592593;-37.1206;-9.1124;-34.8889;-8.0628
26005002601201;PE;2600500;2600500;Águas Belas;43195;;;Centro Local (5);5;Centro Local;PE;2601201;2601201;Arcoverde;73844;;;Centro Subregional A (3A);3A;Centro Subregional A;0;6.6666666667;0;0;28.3333333333;10;0;0;0;10.8635097493;0;2879.6666666667;0;0;12238.5833333333;4319.5;0;0;0;4692.4930362117;0.0620705664;2681.1381151346;-37.1206;-9.1124;-37.0535;-8.4193
26005002607505;PE;2600500;2600500;Águas Belas;43195;;;Centro Local (5);5;Centro Local;PE;2607505;2607505;Itaíba;26390;;;Centro Local (5);5;Centro Local;0;0;0;0;0;0;0;0;0;23.9554317549;0;0;0;0;0;0;0;0;0;10347.5487465181;0.0266171464;1149.727638502;-37.1206;-9.1124;-37.4226;-8.9475
26005002604106;PE;2600500;2600500;Águas Belas;43195;;;Centro Local (5);5;Centro Local;PE;2604106;2604106;Caruaru;356872;;;Capital Regional B (2B);2B;Capital Regional B;0;0;0;0;8.3333333333;0;0;0;0;9.4707520891;0;0;0;0;3599.5833333333;0;0;0;0;4090.8913649025;0.0197823171;854.4971886929;-37.1206;-9.1124;-35.9696;-8.2864
26006092610905;PE;2600609;2600609;Alagoinha;14554;;;Centro Local (5);5;Centro Local;PE;2610905;2610905;Pesqueira;67047;;;Centro de Zona A (4A);4A;Centro de Zona A;73.3333333333;86.6666666667;40;0;26.6666666667;33.3333333333;53.3333333333;0;100;58.1081081081;10672.9333333333;12613.4666666667;5821.6;0;3881.0666666667;4851.3333333333;7762.1333333333;0;14554;8457.0540540541;0.4714414414;6861.3587387387;-36.7754;-8.4663;-36.6962;-8.3574
26006092611606;PE;2600609;2600609;Alagoinha;14554;;;Centro Local (5);5;Centro Local;PE;2611606;2611606;Recife;1637834;2611606;Arranjo Populacional do Recife/PE;Município integrante do Arranjo Populacional do Recife/PE - Metrópole (1C);1C;Metrópole;0;0;10;56.6666666667;0;0;0;100;0;3.1531531532;0;0;1455.4;8247.2666666667;0;0;0;14554;0;458.9099099099;0.1698198198;2471.5576576577;-36.7754;-8.4663;-34.8889;-8.0628
26006092601201;PE;2600609;2600609;Alagoinha;14554;;;Centro Local (5);5;Centro Local;PE;2601201;2601201;Arcoverde;73844;;;Centro Subregional A (3A);3A;Centro Subregional A;10;10;23.3333333333;18.3333333333;25;26.6666666667;16.6666666667;0;0;0;1455.4;1455.4;3395.9333333333;2668.2333333333;3638.5;3881.0666666667;2425.6666666667;0;0;0;0.13;1892.02;-36.7754;-8.4663;-37.0535;-8.4193
26006092604106;PE;2600609;2600609;Alagoinha;14554;;;Centro Local (5);5;Centro Local;PE;2604106;2604106;Caruaru;356872;;;Capital Regional B (2B);2B;Capital Regional B;11.6666666667;0;20;25;48.3333333333;13.3333333333;0;0;0;6.3063063063;1697.9666666667;0;2910.8;3638.5;7034.4333333333;1940.5333333333;0;0;0;917.8198198198;0.1246396396;1814.0053153153;-36.7754;-8.4663;-35.9696;-8.2864
26006092616001;PE;2600609;2600609;Alagoinha;14554;;;Centro Local (5);5;Centro Local;PE;2616001;2616001;Venturosa;18298;;;Centro Local (5);5;Centro Local;0;3.3333333333;0;0;0;3.3333333333;30;0;0;29.2792792793;0;485.1333333333;0;0;0;485.1333333333;4366.2;0;0;4261.3063063063;0.0659459459;959.7772972973;-36.7754;-8.4663;-36.8763;-8.5781
26006092601706;PE;2600609;2600609;Alagoinha;14554;;;Centro Local (5);5;Centro Local;PE;2601706;2601706;Belo Jardim;76185;;;Centro Subregional B (3B);3B;Centro Subregional B;0;0;6.6666666667;0;0;0;0;0;0;0;0;0;970.2666666667;0;0;0;0;0;0;0;0.0066666667;97.0266666667;-36.7754;-8.4663;-36.4203;-8.3344
26006092612505;PE;2600609;2600609;Alagoinha;14554;;;Centro Local (5);5;Centro Local;PE;2612505;2612505;Santa Cruz do Capibaribe;105936;;;Centro Subregional B (3B);3B;Centro Subregional B;5;0;0;0;0;0;0;0;0;0;727.7;0;0;0;0;0;0;0;0;0;5;72.77;-36.7754;-8.4663;-36.1995;-7959
26006092602803;PE;2600609;2600609;Alagoinha;14554;;;Centro Local (5);5;Centro Local;PE;2602803;2602803;Buíque;57825;;;Centro Local (5);5;Centro Local;0;0;0;0;0;0;0;0;0;3.1531531532;0;0;0;0;0;0;0;0;0;458.9099099099;0.0031531532;45.890990991;-36.7754;-8.4663;-37.1561;-8.6237
26007082611606;PE;2600708;2600708;Aliança;38375;;;Centro Local (5);5;Centro Local;PE;2611606;2611606;Recife;1637834;2611606;Arranjo Populacional do Recife/PE;Município integrante do Arranjo Populacional do Recife/PE - Metrópole (1C);1C;Metrópole;20;13.3333333333;10;53.3333333333;27.6666666667;63.3333333333;100;92.6666666667;0;0;7675;5116.6666666667;3837.5;20466.6666666667;10617.0833333333;24304.1666666667;38375;35560.8333333333;0;0;0.4225925926;16216.9907407407;-35.2301;-7604;-34.8889;-8.0628
26007082615300;PE;2600708;2600708;Aliança;38375;;;Centro Local (5);5;Centro Local;PE;2615300;2615300;Timbaúba;50956;;;Centro Subregional B (3B);3B;Centro Subregional B;50;56.6666666667;38.3333333333;13.3333333333;22.6666666667;0;0;0;0;22.6658081133;19187.5;21745.8333333333;14710.4166666667;5116.6666666667;8698.3333333333;0;0;0;0;8698.00386349;0.2262953423;8684.08376261;-35.2301;-7604;-35.3185;-7.5101
26007082606200;PE;2600708;2600708;Aliança;38375;;;Centro Local (5);5;Centro Local;PE;2606200;2606200;Goiana;79455;;;Centro Subregional B (3B);3B;Centro Subregional B;13.3333333333;20;20;5;14.3333333333;6.6666666667;0;0;0;27.1732131359;5116.6666666667;7675;7675;1918.75;5500.4166666667;2558.3333333333;0;0;0;10427.7205408886;0.1183406072;4541.3208008395;-35.2301;-7604;-34.9908;-7561
