idfrom;from;idto;to;perc_lig;ia
2601706;Belo Jardim;2611606;Recife;0.2457192227;18720.1189847418
2601706;Belo Jardim;2610905;Pesqueira;0.0506748826;3860.6659330986
2601706;Belo Jardim;2606002;Garanhuns;0.05;3809.25
2601706;Belo Jardim;2612505;Santa Cruz do Capibaribe;0.027037037;2059.8166666667
2601706;Belo Jardim;2615409;Toritama;0.027037037;2059.8166666667
2601706;Belo Jardim;2612406;Sanharó;0.0166666667;1269.75
2601706;Belo Jardim;2614709;Tacaimbó;0.0125195618;953.8028169014
2601706;Belo Jardim;2613008;São Bento do Una;0.0105633803;804.7711267606
2601706;Belo Jardim;2601201;Arcoverde;0.0074074074;564.3333333333
2601706;Belo Jardim;2609600;Olinda;0.0074074074;564.3333333333
2601805;Betânia;2613909;Serra Talhada;0.5451456311;6907.5402912621
2601805;Betânia;2611606;Recife;0.19;2407.49
2601805;Betânia;2601201;Arcoverde;85;1077035
2601805;Betânia;2605103;Custódia;0.0565210356;716.1780420712
2601805;Betânia;2604106;Caruaru;0.0333333333;422.3666666667
2601805;Betânia;2611101;Petrolina;0.0166666667;211.1833333333
2601805;Betânia;2605608;Flores;0.0066666667;84.4733333333
2601904;Bezerros;2604106;Caruaru;0.5887683136;35746.4793937557
2601904;Bezerros;2611606;Recife;0.3060952814;18584.2689148227
2601904;Bezerros;2606408;Gravatá;0.0641578256;3895.2782237042
2601904;Bezerros;2616407;Vitória de Santo Antão;0.0265196524;1610.1141770233
2601904;Bezerros;2612000;Sairé;0.0144589269;877.8592906942
2602001;Bodocó;2609907;Ouricuri;0.2774038462;10516.1024038462
2602001;Bodocó;2611606;Recife;0.1266666667;4801.8066666667
2602001;Bodocó;2601102;Araripina;0.1133333333;4296.3533333333
2602001;Bodocó;2611101;Petrolina;0.0987980769;3745.3362980769
2602001;Bodocó;2605301;Exu;0.0265384615;1006.0465384615
2602001;Bodocó;2612208;Salgueiro;0.0166666667;631.8166666667
2602001;Bodocó;2607307;Ipubi;0.01;379.09
2602001;Bodocó;2608750;Lagoa Grande;0.009375;355.396875
2602001;Bodocó;2606309;Granito;0.0066666667;252.7266666667
2602100;Bom Conselho;2606002;Garanhuns;0.4858523726;23484.1602811951
2602100;Bom Conselho;2611606;Recife;0.2066666667;9989.44
2602100;Bom Conselho;2604106;Caruaru;0.03;1450.08
2602100;Bom Conselho;2602407;Brejão;0.0272407733;1316.7100175747
2602100;Bom Conselho;2615102;Terezinha;0.0170474517;824.0056239016
2602209;Bom Jardim;2611606;Recife;0.270411985;10581.7617977528
2602209;Bom Jardim;2614501;Surubim;0.2233333333;8739.48
2602209;Bom Jardim;2608909;Limoeiro;0.222618318;8711.500020429
2602209;Bom Jardim;2604007;Carpina;0.0533367382;2087.173237998
2602209;Bom Jardim;2616407;Vitória de Santo Antão;0.0533333333;2087.04
2602209;Bom Jardim;2609709;Orobó;0.0465440926;1821.3634320735
2602209;Bom Jardim;2613701;São Lourenço da Mata;0.0200034048;782.773237998
2602209;Bom Jardim;2609501;Nazaré da Mata;0.02;782.64
